EXPERIMENT2_1.CSV,,,,,,,,,,,,,,,
min_spacing,iter_window_len,crazy_var,window_length,step1_benchmarks,step15_usage,,,,,,,,,,
0.33,0.1,60,200,"[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,,,,,,,,,,
subject,avg diff,setting.step1_usage,setting.step1_benchmarks,setting.step15_usage,setting.step2_usage,setting.step3_usage,,,good ones,,,,,,
"['filip2', 'hayden2', 'roy1']",20.37433693,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",21.1377263,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",19.92893505,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,,"[1, 0, 0, 1, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",21.14132914,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",19.93172381,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,,"[1, 0, 0, 1, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.82597515,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,,"[1, 0, 0, 1, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.13210931,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,,"[1, 0, 0, 1, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",18.76784257,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,,"[1, 0, 0, 1, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",18.30090967,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,,"[1, 0, 0, 1, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",20.45065345,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",18.64282262,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,,"[1, 0, 0, 1, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",43.52369555,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",44.50826258,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",45.45657455,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",47.14517663,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",43.29653476,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",44.79715317,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",45.20439018,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",45.48479748,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",45.46434532,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",46.10287907,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",44.66926501,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",46.39742432,"[1, 0, 0, 1, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",16.05300011,"[1, 0, 0, 1, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,,"[1, 0, 0, 1, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.0603659,"[1, 0, 0, 1, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,,"[1, 0, 0, 1, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.23104089,"[1, 0, 0, 1, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,,"[1, 0, 0, 1, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.52366203,"[1, 0, 0, 1, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,,"[1, 0, 0, 1, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.1257094,"[1, 0, 0, 1, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,,"[1, 0, 0, 1, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.16627781,"[1, 0, 0, 1, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,,"[1, 0, 0, 1, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.73673874,"[1, 0, 0, 1, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,,"[1, 0, 0, 1, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.84446827,"[1, 0, 0, 1, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,,"[1, 0, 0, 1, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.50523501,"[1, 0, 0, 1, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,,"[1, 0, 0, 1, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.74100454,"[1, 0, 0, 1, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,,"[1, 0, 0, 1, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.77834887,"[1, 0, 0, 1, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,,"[1, 0, 0, 1, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.77233745,"[1, 0, 0, 1, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,,"[1, 0, 0, 1, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",29.64078201,"[1, 0, 0, 2, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",32.79113635,"[1, 0, 0, 2, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",30.25760811,"[1, 0, 0, 2, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",32.05712497,"[1, 0, 0, 2, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",31.35201147,"[1, 0, 0, 2, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",32.9157097,"[1, 0, 0, 2, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",28.10772676,"[1, 0, 0, 2, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",31.65854801,"[1, 0, 0, 2, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",29.3955012,"[1, 0, 0, 2, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",33.17762653,"[1, 0, 0, 2, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",29.5737249,"[1, 0, 0, 2, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",33.31179924,"[1, 0, 0, 2, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,, ,,,,,,
